"rules","support","confidence","coverage","lift","count"
"{} => {Hair Colors & Dyes}",0.00535204567078972,0.00535204567078972,1,1,45
"{} => {Other Insect Repellent}",0.00511417697431018,0.00511417697431018,1,1,43
"{} => {Cut Vegetables}",0.00558991436726927,0.00558991436726927,1,1,47
"{} => {Packaged Drinking Water}",0.00737392959086584,0.00737392959086584,1,1,62
"{} => {Ready Baking Mixes}",0.00606565176022835,0.00606565176022835,1,1,51
"{} => {Diapers & Wipes}",0.0071360608943863,0.0071360608943863,1,1,60
"{} => {Healthy Snacks}",0.00582778306374881,0.00582778306374881,1,1,49
"{} => {Milk}",0.00832540437678402,0.00832540437678402,1,1,70
"{} => {Sanitary Pads}",0.0071360608943863,0.0071360608943863,1,1,60
"{} => {Other Sauces}",0.00654138915318744,0.00654138915318744,1,1,55
"{} => {Shoe Polish}",0.00666032350142721,0.00666032350142721,1,1,56
"{} => {Tomato Ketchup}",0.00606565176022835,0.00606565176022835,1,1,51
"{} => {Sugar Cubes}",0.00582778306374881,0.00582778306374881,1,1,49
"{} => {Liquid Detergent}",0.00773073263558516,0.00773073263558516,1,1,65
"{} => {Face Wash}",0.00689819219790676,0.00689819219790676,1,1,58
"{} => {Powdered Spices}",0.00677925784966698,0.00677925784966698,1,1,57
"{} => {Whole Grains}",0.00689819219790676,0.00689819219790676,1,1,58
"{} => {Other Juices}",0.00951474785918173,0.00951474785918173,1,1,80
"{} => {Foam & Gels}",0.00832540437678402,0.00832540437678402,1,1,70
"{} => {Shaving Cream}",0.00832540437678402,0.00832540437678402,1,1,70
"{} => {Health Supplements}",0.00868220742150333,0.00868220742150333,1,1,73
"{} => {Chilli & Soya Sauces}",0.00951474785918173,0.00951474785918173,1,1,80
"{} => {Agarbatti}",0.00832540437678402,0.00832540437678402,1,1,70
"{} => {Eggs}",0.00903901046622265,0.00903901046622265,1,1,76
"{} => {Hair Oil}",0.00975261655566127,0.00975261655566127,1,1,82
"{} => {Chinese Noodles}",0.00856327307326356,0.00856327307326356,1,1,72
"{} => {Mango Juices}",0.0127259752616556,0.0127259752616556,1,1,107
"{} => {Oats}",0.00915794481446242,0.00915794481446242,1,1,77
"{} => {Instant Pastas}",0.00987155090390105,0.00987155090390105,1,1,83
"{} => {Cakes}",0.0129638439581351,0.0129638439581351,1,1,109
"{} => {Shaving Blade & Razors}",0.0136774500475737,0.0136774500475737,1,1,115
"{} => {Shampoo}",0.0088011417697431,0.0088011417697431,1,1,74
"{} => {Vermicelli}",0.0118934348239772,0.0118934348239772,1,1,100
"{} => {Toothpaste}",0.0126070409134158,0.0126070409134158,1,1,106
"{} => {Healthy & Digestive Biscuits}",0.0147478591817317,0.0147478591817317,1,1,124
"{} => {Ready Mix}",0.0115366317792578,0.0115366317792578,1,1,97
"{} => {Aluminium Foil & Cling Wrap}",0.0160561370123692,0.0160561370123692,1,1,135
"{} => {Other Oils}",0.0174833491912464,0.0174833491912464,1,1,147
"{} => {Corn Snacks}",0.0185537583254044,0.0185537583254044,1,1,156
"{} => {Buns & Pavs}",0.0231921979067555,0.0231921979067555,1,1,195
"{} => {Ice Creams & Desserts}",0.0205756422454805,0.0205756422454805,1,1,173
"{} => {Other Sweets}",0.020337773549001,0.020337773549001,1,1,171
"{} => {Instant Noodles}",0.0199809705042816,0.0199809705042816,1,1,168
"{} => {Curd}",0.02604662226451,0.02604662226451,1,1,219
"{} => {Cooking Sauce}",0.0217649857278782,0.0217649857278782,1,1,183
"{} => {Cookies}",0.0240247383444339,0.0240247383444339,1,1,202
"{} => {Phenyles & Acids}",0.0212892483349191,0.0212892483349191,1,1,179
"{} => {Organic Salt}",0.0196241674595623,0.0196241674595623,1,1,165
"{} => {Sugar & Jaggery}",0.0196241674595623,0.0196241674595623,1,1,165
"{} => {Yogurt & Lassi}",0.0277117031398668,0.0277117031398668,1,1,233
"{} => {Other Flours}",0.0178401522359657,0.0178401522359657,1,1,150
"{} => {Honey}",0.0246194100856327,0.0246194100856327,1,1,207
"{} => {Regular Pasta}",0.0229543292102759,0.0229543292102759,1,1,193
"{} => {Organic Flours}",0.0246194100856327,0.0246194100856327,1,1,207
"{} => {Basmati Rice}",0.0289010466222645,0.0289010466222645,1,1,243
"{} => {Cooking Paste}",0.0272359657469077,0.0272359657469077,1,1,229
"{} => {Mosquito Repellent}",0.0281874405328259,0.0281874405328259,1,1,237
"{} => {Organic Rice & Rice Products}",0.0337773549000951,0.0337773549000951,1,1,284
"{} => {Ground Coffee}",0.0336584205518554,0.0336584205518554,1,1,283
"{} => {Rice Flour}",0.0230732635585157,0.0230732635585157,1,1,194
"{} => {Chips}",0.0357992388201713,0.0357992388201713,1,1,301
"{} => {Snacky Nuts}",0.039605137963844,0.039605137963844,1,1,333
"{} => {Organic Masalas & Spices}",0.0344909609895338,0.0344909609895338,1,1,290
"{} => {Ghee}",0.0334205518553758,0.0334205518553758,1,1,281
"{} => {Liquid Soaps & Bars}",0.0374643196955281,0.0374643196955281,1,1,315
"{} => {Organic Dals & Pulses}",0.0415080875356803,0.0415080875356803,1,1,349
"{} => {Jaggery}",0.0342530922930542,0.0342530922930542,1,1,288
"{} => {Raisins}",0.0444814462416746,0.0444814462416746,1,1,374
"{} => {Marie & Milk Biscuits}",0.0486441484300666,0.0486441484300666,1,1,409
"{} => {Glucose}",0.0486441484300666,0.0486441484300666,1,1,409
"{} => {Maida}",0.05209324452902,0.05209324452902,1,1,438
"{} => {Other Dry Fruits}",0.0570884871550904,0.0570884871550904,1,1,480
"{} => {Health Drinks}",0.0555423406279734,0.0555423406279734,1,1,467
"{} => {Cream Biscuits}",0.0581588962892483,0.0581588962892483,1,1,489
"{} => {Besan}",0.0572074215033302,0.0572074215033302,1,1,481
"{} => {Almonds}",0.0618458610846813,0.0618458610846813,1,1,520
"{} => {Boiled Rice}",0.0622026641294006,0.0622026641294006,1,1,523
"{} => {Raw Peanuts}",0.0585156993339676,0.0585156993339676,1,1,492
"{} => {Cashews}",0.061964795432921,0.061964795432921,1,1,521
"{} => {Sunflower Oils}",0.0802806850618459,0.0802806850618459,1,1,675
"{} => {Other Rice Products}",0.0706470028544244,0.0706470028544244,1,1,594
"{} => {Avalakki / Poha}",0.0768315889628925,0.0768315889628925,1,1,646
"{} => {Bread}",0.11976688867745,0.11976688867745,1,1,1007
"{} => {Exotic Vegetables}",0.121550903901047,0.121550903901047,1,1,1022
"{} => {Urad Dal}",0.102402473834443,0.102402473834443,1,1,861
"{} => {Raw Rice}",0.124167459562322,0.124167459562322,1,1,1044
"{} => {Namkeen}",0.1459324452902,0.1459324452902,1,1,1227
"{} => {Organic F&V}",0.168292102759277,0.168292102759277,1,1,1415
"{} => {Sooji & Rava}",0.131898192197907,0.131898192197907,1,1,1109
"{} => {Moong Dal}",0.134514747859182,0.134514747859182,1,1,1131
"{} => {Sugar}",0.159015223596575,0.159015223596575,1,1,1337
"{} => {Toor Dal}",0.151879162702188,0.151879162702188,1,1,1277
"{} => {Whole Spices}",0.20337773549001,0.20337773549001,1,1,1710
"{} => {Banana}",0.259633682207422,0.259633682207422,1,1,2183
"{} => {Other Dals}",0.232159847764034,0.232159847764034,1,1,1952
