web_scraper_order,web_scraper_start_url,title,review,rating,likes,dislikes
"1768461327-1","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Simply impactful story telling","Haq is a triumph, carried by its best assets: a powerful story and stellar acting. The film's narrative, a gripping courtroom drama based on the Shah Bano case, is handled with rare maturity and restraint. Yami Gautam and Emraan Hashmi deliver career-best performances, playing their roles with raw, nuanced, and extraordinary conviction. A must-watch.","9","37","3"
"1768461327-2","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Bold and Brilliant Film Inspired by Real Events","Haq is a powerful movie inspired by the real-life case of Shah Bano vs. Mohammad Ahmad Khan (1985) - a landmark judgement that exposed the injustice faced by Muslim women under the triple talaq system. The film beautifully portrays the clash between secular law and Muslim personal law, raising vital questions about gender equality and social reform.

Yami Gautam delivers a deeply moving performance, and Emraan Hashmi - the ""King of Love"" - adds strength and charm to every scene. The movie courageously highlights the hypocrisy of the judicial system and the resistance to reform within society.

A fantastic, unexpected, and thought-provoking film from Bollywood. Hats off to everyone involved in creating this remarkable piece of cinema.","9","21","2"
"1768461327-3","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Haq se dekho","I might be a bit late to celebrate this incredible movie, but it's never too late to appreciate one of the best movies to have come out of Bollywood recently. Yami Gautam is an amazing actress who deserves far more recognition and acclaim than she currently receives.

Every scene, every expression she delivers, lands perfectly, capturing the pain and disappointment of a woman who sought justice-not only for herself but for every woman in her community. The movie doesn't have any unnecessary fluff and remains focused and impactful throughout its runtime. It features some of the best courtroom scenes I have seen. Yami Gautam delivers a deeply moving monologue that brings the entire movie full circle. The music serves as a powerful supporting actor, reminding you of the movies core issues.","9","24","3"
"1768461327-4","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Great movie, Simple yet impactful","I loved this movie , it really hit hard and made me see marriage and women from a completely different perspective. Banu was right. I now understand what dignity truly means to a woman and how important her well-being is, especially when her husband takes a stand or makes a decision, whatever the reason may be.

The film subtly explores themes of patriarchy, social norms, shame, male ego, power, money, authority and even the right to act under religious or cultural expectations as a man. There's something here we, as men and as human beings, need to learn and grow from.

It beautifully portrays how love and marriage can fade over time, leaving a woman isolated despite her immense contribution to the relationship. The feminine perspective is handled with grace and depth, showing both vulnerability and strength.

For me, the best part was the husband's character and Emraan Hashmi's brilliant performance. He played the role with such confidence and portraying the man exactly as he was, without guilt or pretense. His character appears decent and respectable, yet turns from grey to dark when his ego is hurt. His expression of love and care becomes tricky in the second half, shifting toward selfishness and self-preservation as he tries to protect his social image.

His character has real depth, and Emraan Hashmi brought it to life in a believable and layered way. Through him, we see not just a man, but the reflection of how society, ego, and pride can shape love, marriage, and dignity.","10","30","5"
"1768461327-5","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A must watch movie","Haq is a powerful portrayal of the real struggles faced by women in Muslim communities. The film captures their pain and strength with honesty and depth. Both actors have delivered outstanding performances, making this a must-watch movie. I like the movie all should watch it and it will gonna create a positive impact on the society.","10","15","2"
"1768461327-6","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Masterpiece of Truth, Courage, and Justice","Haq isn't just a movie - it's an experience, a statement, and a revolution in storytelling. Directed by Suparn S Varma, this courtroom drama shines as one of the most powerful and emotionally charged films of 2025.

Story & Direction
Inspired by real events, Haq tells the story of Shazia Bano (Yami Gautam Dhar), a woman who refuses to be silenced after being unjustly divorced through triple talaq. Her fight for justice becomes the voice of millions - turning her pain into power.

Suparn S Varma's direction is flawless - every frame, every line, every silence carries weight. He brings sensitivity and strength together like few directors can.

Performances
Yami Gautam Dhar delivers the performance of a lifetime. She carries the soul of the film - fierce yet vulnerable, determined yet deeply human. Her courtroom scenes will leave you speechless and emotional.

Emraan Hashmi is equally magnetic - layered, complex, and hauntingly real. He plays Abbas Khan with nuance, showing both his love and his flaws.

Their on-screen chemistry adds incredible emotional tension and depth.

Writing & Emotion
The dialogues are piercing and unforgettable - not preachy, but powerful. Every word feels like truth spoken for generations of women who were never heard.

The film blends law, faith, and humanity with grace - reminding us that justice is not just a system, it's a right.

Cinematography & Music
The visuals are breathtaking - capturing both the beauty and the pain of small-town India. The courtroom sequences are shot with raw realism.

The background score elevates every emotion - subtle, stirring, and unforgettable.

Message
Haq is not about one woman - it's about every woman who dares to stand up for herself. It celebrates courage, equality, and truth. The film leaves you proud, teary-eyed, and inspired all at once.","10","22","5"
"1768461327-7","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Must Watch Movie✨","I really loved this movie...The story is strong and the film keeps you hooked from start to end😍
Yami Gautam is the highlight of the movie✨..Her acting is so powerful that she even overshadows Emraan Hashmi🤧 Every dialogue she delivered gave me goosebumps😭🤧She truly deserves a National Award for this performance✨

Overall, Haq is a must-watch💯","10","11","2"
"1768461327-8","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Haq Movie - A balanced, powerful, and must-watch film for serious cinema lovers.","I had high hopes for Haq, and honestly, the film didn't disappoint. Based on the real-life Shah Bano case (Mohd. Ahmad Khan vs Shah Bano Begum, 1985), the movie explores a sensitive subject with balance and grace. The makers have taken creative liberty by changing names and some details to avoid hurting religious sentiments, but the essence of the story remains intact.

The first half is strong and engaging, with solid character development that helps the audience connect emotionally. The second half, though not as powerful as expected after the intermission, still holds up well - especially due to Yami Gautam and Emraan Hashmi's brilliant performances. The courtroom drama could've been more impactful, but overall, the execution is decent.

Haq is not a commercial entertainer - it's a serious, content-driven film that sheds light on a real issue. Those who enjoy true-story-based cinema will find it meaningful and thought-provoking. The film ends with the Supreme Court judgment, leaving the post-1985 controversies untouched.

Yami Gautam shines as Shazia Bano, portraying strength and struggle beautifully. It's definitely worth watching for her performance and the story's relevance.

My Rating: 7/10.","7","13","4"
"1768461327-9","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","MIND BLOWING MOVIE","Do watch it, it's absolutely amazing and will capture your attention from start to finish. Some movies you simply watch, but this one, you truly feel. It captures you from the very first scene and never lets go till the end. It's not just a film, it's an experience, a judgment, a truth brought to life with such sincerity that it leaves you speechless.

This story, which we've all studied as a law student and read this landmark case year after year, comes alive here with such emotional power that it feels new, raw, and deeply personal. Every dialogue, every glance, every silence carries meaning. It's the kind of film that reminds you what cinema truly stands for emotion, truth, and connection.

Yami Gautam is absolutely extraordinary, she delivers one of the finest performances of her career. The grace, conviction and quiet power she brings to her character are truly mesmerizing. She doesn't just act, she lives the role. Every glance, every pause, every flicker of emotion feels honest and deeply human. Yami has always been known for her subtlety, but here, she transcends her own brilliance commanding the screen with both strength and sensitivity. Emraan Hashmi, on the other hand, reminds us yet again why he remains one of the most underrated yet immensely talented actors in the industry. His controlled intensity, emotional depth and effortless screen presence make every moment he's on screen unforgettable. There's a calm confidence in his performance, one that draws you in and makes you feel every layer of his character's journey.

Together, Yami and Emraan create a rare kind of cinematic harmony, two performers completely in sync with the story and with each other. Their chemistry isn't built on theatrics or drama, but on authenticity, emotion, and truth. Watching them share the screen feels powerful, real and deeply moving. In a time when so many films chase glamour and noise, this one shines purely through its story, soul, and purpose. It's a film that touches something deep within, the kind of movie you carry in your heart long after it ends.

A standing ovation to the entire team, from the direction to the screenplay, the cinematography and the background score, every element blends seamlessly to create something truly magical. Go watch it. Its worth it...","10","8","2"
"1768461327-10","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","HAQ review","Just watched HAQ in the theatres.

Simply loved it .

Career best performance from both Yami and Imraan. Well written dialogues, crisp editing and great music make it a must watch. Every body should watch it without any preconceived notions as this movie does not show anyone in bad light. It's a movie about rights and nothing else. Good movies like this must be supported by audiences. No drama, no propoganda . Only 3 very melodious songs no ear piercing BGM.

Please watch the movie n support it.","7","5","1"
