web_scraper_order,web_scraper_start_url,Name,Title,Review,Star,Verified,Date
"1771222379-1","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","karen","Great Meat substitute","Really loved the kit .  Easy to use and tastes great . India is really coming on well with companies that make vegan convenience food . I would say that you don't need as much oil than in the instructions though . But I Love this brand and products.  My meat eating husband also always enjoys these meals.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 4 January 2022"
"1771222379-2","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rupali","Taste like soya only","Saw many reviews of YouTube and decided to give it a try to this unmutton keema, thought of it to be a little overpriced for the quantity. Easy to make. But the taste is just like having shredded soya chunks in a masala. Of course its made out of soya but the advertisements and the reviews i saw I thought it might not taste like soya, but it does. Being a hard core non vegetarian i was disappointed. Maybe i was expecting too much hehe.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 3 June 2022"
"1771222379-3","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Technocrat","This keema is tasty and so convenient.","We loved this product to bits (pun intended)! I have enjoyed HoodDot products in the past and had high expectations. It didn’t disappoint. Has the richness of flavour and the bites texture that is eerily similar to a real good keema. I made it twice, and the second time at a potluck, my non-veg friends ate it without any mention other than it being tasty. They couldn’t believe when I told them this was vegan! Way to go guys.","4.0 out of 5 stars","Verified Purchase","Reviewed in India on 14 January 2022"
"1771222379-4","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Leona","The flavours are melting on my tongue!","Tastes veryyyyy similar to meat but no cruelty involved!","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 6 March 2022"
"1771222379-5","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amarnath Banerjee","Too Many Spices !","The spices included with the pack must cost more than the plant-based keema !
Has the texture of mutton keema, but too rich in flavours, even if we use less than half of the mixed spices provided.","3.0 out of 5 stars","Verified Purchase","Reviewed in India on 4 June 2022"
"1771222379-6","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Soyabean scam","This is just soyabean same as other soyabean company. So this company selling soyabean in the name of mutton and chicken? Company thinks, we all indian customers are super fool and its easy to make us fool.
Company should have some shame for selling these lies in the name of artificial meat or vegan meat, why don't you guys just say it's a soyabean keema ?
Any explanation, on why the company Gooddot not saying this a soyabean?? We indians know and highly familiar with soyabean, so when you selling the soyabeans as a new name called vegan meat , then don't you think you guys (company) making fool of us ?
Never ever ever in life will buy any product named good dot.
Rename the company name from
GoodDot --> GoodLies","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 8 July 2022"
"1771222379-7","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Samayra","Good product.","Really good texture and excellent quality, value for money. Go for it.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 30 August 2024"
"1771222379-8","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sahil","Worst product ever","The product came in a good box with all the ingredients and instruction but the masala packet inside had a black sauce which smelt and looked burnt. I anyways went ahead and cooked as per the instruction and the final product tasted awful. It was soo burnt in taste that we had to throw the entire thing. I have had soo many plant based products but this is by far the worst one.
PLEASE DONT GO ON TRYING THIS PRODUCT.
THE COMPANY SHOULD DO SOMETHING ABOUT IT.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 7 April 2022"
"1771222379-9","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sakshi Sahwal","yumm","","4.0 out of 5 stars","Verified Purchase","Reviewed in India on 8 June 2022"
"1771222379-10","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Vicky","I liked it","Damn I liked it!! It's quite tasty. One star less cause I've been commenting good dot to not make a bulk ""teekha"" masala! Please provide a separate chilli pack. So all can add according to taste. I prefer workout the chilli or without the hotness!! But overall I liked it","4.0 out of 5 stars","Verified Purchase","Reviewed in India on 28 January 2023"
"1771222379-11","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tejas. N. Suvarna","Don't use too much oil","I used a lot of oil and spoiled the taste.

I am not sure how it would've tasted but just don't use a lot of oil.","3.0 out of 5 stars","Verified Purchase","Reviewed in India on 30 September 2022"
"1771222379-12","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sanjukta Ghosh","Average","I don't like the taste or flavor so much...because I avoid star anise..and it has more star anise flavor than the other","3.0 out of 5 stars","Verified Purchase","Reviewed in India on 1 January 2023"
"1771222379-13","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","deepu meyna","You ll definitely love it when it's hot 🔥","You will like it, but it tastes good when it's hot and don't add oil like they said in the recipe that was given on the outer carton..otherwise it's worth it. They came with spices and measuring Jar it's serves 4 people, tastes much better with roti","4.0 out of 5 stars","Verified Purchase","Reviewed in India on 20 February 2022"
"1771222379-14","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Neepa","Not like keema","The taste is good but nothing like actual keema. It has a very obvious soyabean flavour so it kinda defeats the whole purpose of this product.","3.0 out of 5 stars","Verified Purchase","Reviewed in India on 18 February 2022"
"1771222379-15","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","c  d s","Fantastic taste - could never have imagined","Was a little apprehensive as out experiments with plant-based meats were not great.

But this one blew our minds! The aroma filled the house - and the taste was spot-on.

It's something that we've gotten used to and a couple of times a month we end up having this. With Pav, with parathas, even with rice.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 25 May 2022"
"1771222379-16","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kindle Customer","Soya Granules with keema masala","Soya granules with keema masala ...","3.0 out of 5 stars","Verified Purchase","Reviewed in India on 7 July 2022"
"1771222379-17","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","ankur bhargava","Dint liked it","Better to eat fresh home cook food instead of these kinds of things

If you really want quit non veg just quit it don't run after similar taste packed food

Personal opinion

Tried it felt it's disgusting","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 2 March 2022"
"1771222379-18","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Siliguri Man","Worst quality vegthing ever","It's a worst kind product purchase result we have ever experienced. All are made of soya and the fusion of hard soya flavour with core mutton spices has made a freaking food experience. Personally I am scared even with the name GoodDot. My goodness, how could they ever make such a puking food!!! Did they have any tasters before releasing in the market?? I hope if they had, that person is still there in ICU.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 13 June 2022"
"1771222379-19","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sandhya","Better than mutton keema!","This keema is plant-based, but several of my friends found it indistinguishable or even better than mutton keema! Of course, the simplicity and convenience makes it a breeze - you WILL feel like a Chef 😀. I have been recommending this to all my friends and relatives, and many have become fans :)","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 23 March 2022"
"1771222379-20","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nikhil Gundawar","Not at all worth it","To be honest, I looked at the reviews and was impressed.
Cooked it and was impressed by the Color and the texture.

But you will only enjoy first 2bites and post that it becomes little nauseating and oil is too intense.
Also, made all of us feel sick for next 48hours after having this.

Try it but unsure of the after effects. At your own risk sorta product. A good gimmick though.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 1 March 2022"
"1771222379-21","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Krishna patil","Amazing vegan meat ever","This keema kit is truly amazing! I cooked this and even made a review video on my Youtube channel-FoodAttacQ . It tastes exactly like resturant and Irani cafe keema . You will definitely eat this again if you taste it once !","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 12 August 2022"
"1771222379-22","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","A.Qaiser","Meh","Not gonna buy again.","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 27 July 2023"
"1771222379-23","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Komal","Stomach ache","It smells the same tastes the same. But we all got stomach ache. So wouldn't recommend","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 31 July 2022"
"1771222379-24","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Manukansal","Just one bowl of 150 grms contains 800 calories","Don't go for it trust me..you will distroy your one days whole diet plan ...just one bowl(150grm) of this keema will take almost 800 calories of your diet in just one bowl...it's a gimik or marketing strategy they are calling it a healthy food...its biggest ever flop food I have ever tasted...spitting on it..","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 4 July 2022"
