Date,Name and Loc,Rating,Title,Review
Date of experience: July 2019,"KaepagavalliChennai, India","<span class=""ui_bubble_rating bubble_50""></span>",This is one of the beautiful and most sort after beach destination by tourists in goa along the Arabian sea coast of goa in northern part of goa with beautiful sand and seashore.,Beautiful beach
Date of experience: June 2019,"Z8746DQandybUbud, Indonesia","<span class=""ui_bubble_rating bubble_40""></span>",I like this beach not so far from my friend place... Also like flea market ever here... But sometimes is so dusty but okay not really a problem.. But sometimes beach so dirty becouse many rubbish... Overall good to stay here with many differrent things......More,Good athmosphere.... 
Date of experience: July 2019,"syed_vasim_sBengaluru, India","<span class=""ui_bubble_rating bubble_40""></span>","This beach is very clean with restaurants on the beach. There are few stay options also in the beach.
This is less crowded compared to Baga.",Beautiful clean beach in North Goa
Date of experience: July 2019,gotkeriedaway,"<span class=""ui_bubble_rating bubble_40""></span>",We went to this beach at night. There were several restaurants and clubs along the beach. Some clubs had quite loud music so you could sit in the sand and listen or move down the beach to a quieter place., Nice Night Spot
Date of experience: July 2019,NSR19,"<span class=""ui_bubble_rating bubble_30""></span>","This beach has lock of rocks , so not much space for moving around. May be because when I visited it was raining and high tide was there. I was not able to see the sand pima facie.
But sunset is very nice from here....More",Visit to Anjuna on 1st July 2019
Date of experience: June 2019,"adarssh sKota, India","<span class=""ui_bubble_rating bubble_30""></span>","its useless to visit this beach.you will get nothing here except if you want to catch fish than its good for you else no use.only rocks here and very small narrow passage to down to sea,i wud say its not beach it just u can...More",dont go here
Date of experience: June 2019,"Komal SRampura Phul, India","<span class=""ui_bubble_rating bubble_40""></span>","Anjuna beach is very important beach of Goa, It divided into two parts one of the rock beach and second is sand beach, there is very attractive sun set scene,the sea waves are also attractive",Rock Beach
Date of experience: June 2019,jackiekapadia,"<span class=""ui_bubble_rating bubble_40""></span>",Travel only in April may when to take sun bath other wise there is heavy tides n u cant even go in beach.. It's a famous beach for foreigners. Overall less then 1hr beach not famous as baga n culungate,Nice beach 
Date of experience: June 2019,"ManishSarrafNew Delhi, India","<span class=""ui_bubble_rating bubble_30""></span>",The beach looks more like picnic spot than a romantic or leisure place. I did not like the beach to spend more than few minutes,Rocky beach but not as good as other
Date of experience: May 2019,"20travel1972Vasai, India","<span class=""ui_bubble_rating bubble_40""></span>",Anjuna Beach is not so crowded beach but nice place to relax and swim and more peaceful. I'll say good place for romantic dinner. The beach is still clean and can enjoy sunset from Mountain top touching the beach. A perfect place for photography. From...More,A beach more peaceful and less of crowd.
Date of experience: June 2019,"MohanmaliakalBengaluru, India","<span class=""ui_bubble_rating bubble_50""></span>","* Best to visit for the sunset.
* The place is very silent and good
* There are many restaurants in that area where you can have some good food and enjoy the sunset",Amazing sunset point
Date of experience: May 2019,kapurvandana70Maldives,"<span class=""ui_bubble_rating bubble_30""></span>","Over the years, anjuna has been stated a clean beach but lately it has become a little dirty , animals freely roaming around. Though it is gud for sunset view and has a relaxing effect.",Average experience but gud sunset view
