channel_name,video_id,video_url,title,views,likes,raw_comment_count,raw_duration_seconds,raw_tag_count,raw_upload_date,raw_published_at,dv_virality_score,idv1_engagement_rate,idv2_title_sensationalism,idv3_duration_minutes,idv4a_comment_volume,idv5_tag_count,idv5_title_length,med1_like_to_view_ratio,mod1_content_category,mod1_category_code,mod2_upload_recency_days,cv1_subscriber_count,cv2_video_age_days,cv3_day_of_week,cv3_day_of_week_num,cv4_language,scraped_comment_count,idv4b_positive_comment_ratio,idv6_reply_engagement_rate,med2_comment_sentiment
Slayy Point,ruJlB_T-zBk,https://www.youtube.com/watch?v=ruJlB_T-zBk,Trying DOSAs That Rich People Eat (EXPENSIVE),1335552,94398,5317,937,7,2026-03-12,2026-03-12T14:32:35Z,0.128418,7.4662,1,15.62,5317,7,7,7.0681,Roast,0,1,10400000,1,Thursday,3,en,20,40.0,0.040624,0.172
Slayy Point,FJL-N0srAVU,https://www.youtube.com/watch?v=FJL-N0srAVU,I Found WORST Named Restaurants On Delivery Apps,6440758,212565,7387,1056,8,2026-01-29,2026-01-29T14:14:34Z,0.619304,3.415,2,17.6,7387,8,8,3.3003,Roast,0,43,10400000,43,Thursday,3,en,20,25.0,0.041424,-0.1685
Slayy Point,tZ_k-SfcENc,https://www.youtube.com/watch?v=tZ_k-SfcENc,Checking If Ghosts Exist in India's Haunted City,8042686,267332,9020,1499,9,2026-01-06,2026-01-06T13:48:09Z,0.773335,3.4361,0,24.98,9020,9,8,3.3239,Roast,0,66,10400000,66,Tuesday,1,en,20,30.0,0.078714,-0.1136
Slayy Point,tBPPEmexsBs,https://www.youtube.com/watch?v=tBPPEmexsBs,Rich Weddings vs YouTuber Wedding | ft.@souravjvlogs,8588128,266287,5695,1052,6,2025-12-16,2025-12-16T12:46:25Z,0.825782,3.167,0,17.53,5695,6,7,3.1006,Roast,0,87,10400000,87,Tuesday,1,en,20,55.0,0.052853,0.1103
Slayy Point,3rfErh6jqlg,https://www.youtube.com/watch?v=3rfErh6jqlg,Meeting India's Biggest YouTubers To Troll Them (10M Special),10797277,487800,15672,1099,21,2025-11-14,2025-11-14T13:04:18Z,1.0382,4.663,2,18.32,15672,21,9,4.5178,Roast,0,119,10400000,119,Friday,4,en,20,30.0,0.039114,0.1094
Slayy Point,ZL_9LFeCou4,https://www.youtube.com/watch?v=ZL_9LFeCou4,Inside Bollywood Celebrity's Secret Food Store,16421127,485510,21286,1529,5,2025-10-10,2025-10-10T14:17:53Z,1.578955,3.0862,1,25.48,21286,5,6,2.9566,Roast,0,154,10400000,154,Friday,4,en,20,65.0,0.012262,0.2516
Slayy Point,nF3N1j57jLQ,https://www.youtube.com/watch?v=nF3N1j57jLQ,You guys broke my heart 💔 | QnA,8344254,344740,23149,945,7,2025-09-17,2025-09-17T13:31:42Z,0.802332,4.4089,1,15.75,23149,7,8,4.1315,Roast,0,177,10400000,177,Wednesday,2,en,20,55.0,0.030412,0.3693
Slayy Point,OGe5213vCjI,https://www.youtube.com/watch?v=OGe5213vCjI,Why Foreigners Suddenly Hate INDIANS,11211407,397113,27483,955,6,2025-08-22,2025-08-22T14:06:25Z,1.07802,3.7872,1,15.92,27483,6,5,3.542,Roast,0,203,10400000,203,Friday,4,en,20,25.0,0.066514,-0.2366
Slayy Point,wOLkkvH4z84,https://www.youtube.com/watch?v=wOLkkvH4z84,When Desis Go To KOREA For The First Time,16496537,367391,11230,1751,9,2025-07-21,2025-07-21T13:30:50Z,1.586205,2.2952,1,29.18,11230,9,9,2.2271,Roast,0,235,10400000,235,Monday,0,en,20,65.0,0.071416,0.2857
Slayy Point,6Cc_u0y1Jw8,https://www.youtube.com/watch?v=6Cc_u0y1Jw8,Indian School Farewells Have Gone WILD | ft. @NOTYOURTYPE,13419508,397599,12541,948,6,2025-06-06,2025-06-06T14:21:27Z,1.290337,3.0563,2,15.8,12541,6,9,2.9628,Roast,0,280,10400000,280,Friday,4,en,20,75.0,0.058608,0.4066
Slayy Point,G6NVxIKyMEQ,https://www.youtube.com/watch?v=G6NVxIKyMEQ,India's KOREAN Craze is Out Of Control,12290558,380006,17605,991,6,2025-04-25,2025-04-25T13:26:20Z,1.181784,3.2351,1,16.52,17605,6,7,3.0919,Roast,0,322,10400000,322,Friday,4,en,20,70.0,0.040557,0.4524
Slayy Point,3pCDMXuurVM,https://www.youtube.com/watch?v=3pCDMXuurVM,Testing India's Most Expensive Luxury Train,29865603,545230,16354,1314,7,2025-03-25,2025-03-25T13:37:07Z,2.871693,1.8804,0,21.9,16354,7,6,1.8256,Roast,0,353,10400000,353,Tuesday,1,en,20,65.0,0.045004,0.3936
Slayy Point,LSYyNSHwGW8,https://www.youtube.com/watch?v=LSYyNSHwGW8, The Reality of Visiting Taj Mahal,14481135,309587,9645,1398,5,2025-02-14,2025-02-14T13:46:53Z,1.392417,2.2045,0,23.3,9645,5,6,2.1379,Roast,0,392,10400000,392,Friday,4,en,20,70.0,0.025816,0.3558
Slayy Point,2zaS5bWy5yU,https://www.youtube.com/watch?v=2zaS5bWy5yU,The Bad State of INDIAN PODCASTS,11364554,424883,19689,886,8,2025-01-21,2025-01-21T13:58:29Z,1.092746,3.9119,2,14.77,19689,8,6,3.7387,Roast,0,416,10400000,416,Tuesday,1,en,20,35.0,0.065824,-0.079
Slayy Point,SO35-bfcEWg,https://www.youtube.com/watch?v=SO35-bfcEWg,Internet Celebrities EXPOSED |  ft. MrBeast & Indian Creators,12682808,457200,22020,759,7,2024-12-13,2024-12-13T13:40:09Z,1.219501,3.7785,2,12.65,22020,7,9,3.6049,Roast,0,455,10400000,455,Friday,4,en,20,60.0,0.04832,0.4023
Slayy Point,XMgEvXwKQwg,https://www.youtube.com/watch?v=XMgEvXwKQwg,"Human vs ""SMART"" Gadgets",12801014,282449,7240,861,5,2024-11-04,2024-11-04T13:59:34Z,1.230867,2.263,1,14.35,7240,5,4,2.2065,Roast,0,494,10400000,494,Monday,0,sv,20,70.0,0.019475,0.4011
Slayy Point,fRxxNAMsZcg,https://www.youtube.com/watch?v=fRxxNAMsZcg,Trying India's Most EXPENSIVE Pani Puri (Golgappe),21348908,408462,8272,1007,7,2024-10-13,2024-10-13T14:09:13Z,2.05278,1.952,1,16.78,8272,7,7,1.9133,Roast,0,516,10400000,516,Sunday,6,en,20,70.0,0.018738,0.4658
Slayy Point,NOof2E0kMlM,https://www.youtube.com/watch?v=NOof2E0kMlM,"When Desis Go to Miami, Florida",14641247,330312,6563,1531,0,2024-09-12,2024-09-12T14:09:52Z,1.407812,2.3009,0,25.52,6563,0,6,2.256,Roast,0,547,10400000,547,Thursday,3,en,20,75.0,0.040835,0.4363
Slayy Point,QPlIpbvfZiA,https://www.youtube.com/watch?v=QPlIpbvfZiA,Craziest Sellers of Instagram Reels,14358149,353726,8413,810,7,2024-08-24,2024-08-24T14:14:30Z,1.380591,2.5222,0,13.5,8413,7,5,2.4636,Roast,0,566,10400000,566,Saturday,5,en,20,70.0,0.058838,0.5221
Slayy Point,l20auRgzPTw,https://www.youtube.com/watch?v=l20auRgzPTw,Truth of Ambani Wedding - LONGEST Shaadi Ever,18790163,412694,7228,782,11,2024-07-18,2024-07-18T12:30:59Z,1.806746,2.2348,2,13.03,7228,11,8,2.1963,Roast,0,603,10400000,603,Thursday,3,en,20,85.0,0.063226,0.5617
Slayy Point,XO0VH4ga39M,https://www.youtube.com/watch?v=XO0VH4ga39M,HATERS Control Our Life For 24 Hours,13760771,350203,7521,841,7,2024-07-05,2024-07-05T13:57:50Z,1.323151,2.5996,2,14.02,7521,7,7,2.5449,Roast,0,616,10400000,616,Friday,4,en,20,70.0,0.027922,0.4263
Slayy Point,o_tElWUHCNw,https://www.youtube.com/watch?v=o_tElWUHCNw,Viral Vada Pav Stalls  - The New BIGG BOSS,16737218,367267,8999,807,0,2024-06-05,2024-06-05T13:34:41Z,1.609348,2.2481,3,13.45,8999,0,9,2.1943,Roast,0,646,10400000,646,Wednesday,2,en,20,65.0,0.049005,0.3735
Slayy Point,0o2NCc_0F64,https://www.youtube.com/watch?v=0o2NCc_0F64,Desis Go to The Most EXPENSIVE Country | Switzerland,23190275,432616,9998,1691,36,2024-05-17,2024-05-17T12:00:01Z,2.229834,1.9086,1,28.18,9998,36,9,1.8655,Roast,0,665,10400000,665,Friday,4,en,20,55.0,0.014203,0.4087
Slayy Point,qwXccMCvDw0,https://www.youtube.com/watch?v=qwXccMCvDw0,The CRINGE Side Of IPL 2024,10866867,340252,9508,803,13,2024-04-24,2024-04-24T13:47:22Z,1.044891,3.2186,3,13.38,9508,13,6,3.1311,Roast,0,688,10400000,688,Wednesday,2,en,20,75.0,0.016933,0.4061
Slayy Point,uDdNwweI_Gg,https://www.youtube.com/watch?v=uDdNwweI_Gg,Worst Indian Copies of Famous Restaurants,22999035,466759,11444,1011,10,2024-04-05,2024-04-05T13:46:22Z,2.211446,2.0792,1,16.85,11444,10,6,2.0295,Roast,0,707,10400000,707,Friday,4,en,20,75.0,0.069731,0.5266
Slayy Point,3DVcz2DZdXk,https://www.youtube.com/watch?v=3DVcz2DZdXk,What ACTUALLY Happened at the Ambani Pre-Wedding (Jamnagar),19382279,507689,10037,827,11,2024-03-09,2024-03-09T14:10:16Z,1.863681,2.6711,1,13.78,10037,11,8,2.6193,Roast,0,734,10400000,734,Saturday,5,en,20,65.0,0.042742,0.4357
Slayy Point,4sHlCovj-Ik,https://www.youtube.com/watch?v=4sHlCovj-Ik,Impossible Things Stolen by Indian Thieves,16991940,437232,12225,748,8,2024-02-05,2024-02-05T14:04:36Z,1.63384,2.6451,0,12.47,12225,8,6,2.5732,Roast,0,767,10400000,767,Monday,0,en,20,55.0,0.100859,0.2902
Slayy Point,Q_quvGiBv2s,https://www.youtube.com/watch?v=Q_quvGiBv2s,I Organised His Worst Birthday Party | Ft. Virat Kohli,16664293,381294,13757,1076,0,2024-01-15,2024-01-15T13:50:36Z,1.602336,2.3706,1,17.93,13757,0,10,2.2881,Roast,0,788,10400000,788,Monday,0,en,20,85.0,0.011776,0.6409
Slayy Point,z1h5gWuxX_Q,https://www.youtube.com/watch?v=z1h5gWuxX_Q,When Desis Visit Singapore,22804835,422362,11070,1704,9,2023-12-24,2023-12-24T07:31:37Z,2.192773,1.9006,0,28.4,11070,9,4,1.8521,Roast,0,810,10400000,810,Sunday,6,de,20,70.0,0.063595,0.3952
Slayy Point,B0TWtQI-LeM,https://www.youtube.com/watch?v=B0TWtQI-LeM,Never Order Cakes Online,14110809,374676,11302,828,16,2023-11-28,2023-11-28T13:32:01Z,1.356809,2.7353,1,13.8,11302,16,4,2.6552,Roast,0,836,10400000,836,Tuesday,1,no,20,65.0,0.029552,0.3684
Slayy Point,OqZW54a54-g,https://www.youtube.com/watch?v=OqZW54a54-g,Buying Whatever Cricketers Sell,10723661,358485,9010,743,22,2023-10-25,2023-10-25T14:02:14Z,1.031121,3.427,0,12.38,9010,22,4,3.3429,Roast,0,870,10400000,870,Wednesday,2,en,20,75.0,0.014539,0.5531
Slayy Point,osICSvsbX3k,https://www.youtube.com/watch?v=osICSvsbX3k,I Found Every Bollywood Star's House in Mumbai,16736451,448882,7366,824,21,2023-10-02,2023-10-02T12:57:50Z,1.609274,2.7261,0,13.73,7366,21,8,2.6821,Roast,0,893,10400000,893,Monday,0,en,20,75.0,0.02946,0.4325
Slayy Point,gLGcgEImtGo,https://www.youtube.com/watch?v=gLGcgEImtGo,How Foreign Vloggers Show India,13925214,482799,11995,816,6,2023-09-09,2023-09-09T14:08:56Z,1.338963,3.5532,0,13.6,11995,6,5,3.4671,Roast,0,916,10400000,916,Saturday,5,en,20,70.0,0.049271,0.3784
Slayy Point,7FbO_hBQ7Y8,https://www.youtube.com/watch?v=7FbO_hBQ7Y8,Wild Instagram Reelers In Metro,16655149,476326,11083,782,9,2023-08-04,2023-08-04T14:09:18Z,1.601457,2.9265,0,13.03,11083,9,5,2.8599,Roast,0,952,10400000,952,Friday,4,de,20,80.0,0.034106,0.5469
Slayy Point,5ctvDMRse9g,https://www.youtube.com/watch?v=5ctvDMRse9g,Worst Indian YouTube Shorts,17156814,522091,11441,760,6,2023-07-12,2023-07-12T13:32:15Z,1.649694,3.1097,1,12.67,11441,6,4,3.0431,Roast,0,975,10400000,975,Wednesday,2,en,20,70.0,0.03907,0.4421
Slayy Point,OFjfmJNjvcM,https://www.youtube.com/watch?v=OFjfmJNjvcM,When Desi Foreign Trip Goes Wrong  (France + Spain),24490888,502136,10306,1400,9,2023-06-19,2023-06-19T14:02:54Z,2.354893,2.0924,0,23.33,10306,9,9,2.0503,Roast,0,998,10400000,998,Monday,0,en,20,55.0,0.026295,0.3013
Slayy Point,7NgNnaLlsaw,https://www.youtube.com/watch?v=7NgNnaLlsaw,When Desis Go To PARIS For The First Time,26473585,546262,18703,1455,7,2023-06-08,2023-06-08T14:13:09Z,2.545537,2.1341,1,24.25,18703,7,9,2.0634,Roast,0,1009,10400000,1009,Thursday,3,en,20,50.0,0.024702,0.2944
Slayy Point,hNykk63nROo,https://www.youtube.com/watch?v=hNykk63nROo,Bad Indian Street Food - Gone HUGE!,34159974,652236,15971,817,6,2023-05-12,2023-05-12T14:43:51Z,3.284613,1.9561,2,13.62,15971,6,7,1.9094,Roast,0,1036,10400000,1036,Friday,4,en,20,65.0,0.027362,0.4337
Slayy Point,YmO9wwQYnJ8,https://www.youtube.com/watch?v=YmO9wwQYnJ8,Savage Students Of Indian Schools,20572882,676474,15313,733,5,2023-03-24,2023-03-24T15:04:25Z,1.978162,3.3626,0,12.22,15313,5,5,3.2882,Roast,0,1085,10400000,1085,Friday,4,en,20,80.0,0.067851,0.5485
Slayy Point,G2XJxT0Xzzk,https://www.youtube.com/watch?v=G2XJxT0Xzzk,Going to a Rich Wedding For The First Time,42925394,822123,16243,1140,9,2023-02-27,2023-02-27T13:43:47Z,4.127442,1.9531,0,19.0,16243,9,9,1.9152,Roast,0,1110,10400000,1110,Monday,0,en,20,70.0,0.039709,0.4037
Passenger Paramvir,Ks0719tI9Pc,https://www.youtube.com/watch?v=Ks0719tI9Pc,Most random stay of my Thailand trip!,74542,4280,83,43,39,2026-03-08,2026-03-08T07:42:58Z,0.028236,5.8531,1,0.72,83,39,7,5.7417,Travel Vlog,1,5,2640000,5,Sunday,6,en,20,75.0,0.120482,0.5057
Passenger Paramvir,JHcTx727nak,https://www.youtube.com/watch?v=JHcTx727nak,24 Hours in Thailand’s Most Beautiful Village 🇹🇭,620503,17548,1297,2152,39,2026-02-21,2026-02-21T09:51:11Z,0.235039,3.0371,2,35.87,1297,39,8,2.828,Travel Vlog,1,20,2640000,20,Saturday,5,en,20,40.0,0.064765,0.1329
Passenger Paramvir,Dt2w0CoM-Ao,https://www.youtube.com/watch?v=Dt2w0CoM-Ao,Thailand’s Most Underrated City: Chiang Mai 🇹🇭,475798,13216,679,2313,40,2026-02-15,2026-02-15T10:06:24Z,0.180227,2.9204,1,38.55,679,40,7,2.7776,Travel Vlog,1,26,2640000,26,Sunday,6,en,20,55.0,0.10162,0.3312
Passenger Paramvir,kZeU55zJ_gw,https://www.youtube.com/watch?v=kZeU55zJ_gw,The Long Neck Tribe of Thailand 🇹🇭,577220,15629,1283,2493,35,2026-02-08,2026-02-08T15:59:07Z,0.218644,2.9299,1,41.55,1283,35,7,2.7076,Travel Vlog,1,33,2640000,33,Sunday,6,en,20,50.0,0.077163,0.2544
Passenger Paramvir,0jBVtUDG61A,https://www.youtube.com/watch?v=0jBVtUDG61A,Ukraine's Nightlife During War! 🇺🇦,811456,24361,1066,2093,42,2026-01-21,2026-01-21T13:05:33Z,0.30737,3.1335,2,34.88,1066,42,5,3.0021,Travel Vlog,1,51,2640000,51,Wednesday,2,en,20,45.0,0.145403,0.1209
Passenger Paramvir,e_Uoo5nFAAA,https://www.youtube.com/watch?v=e_Uoo5nFAAA,Top 5 visa free destinations on Indian passport,1353362,92916,641,108,0,2026-01-19,2026-01-19T12:57:36Z,0.512637,6.9129,1,1.8,641,0,8,6.8656,Travel Vlog,1,53,2640000,53,Monday,0,en,20,70.0,0.171607,0.4089
Passenger Paramvir,V-eGWtA6_2w,https://www.youtube.com/watch?v=V-eGWtA6_2w,Facing Death in Ukraine 🇺🇦,1162388,39155,3423,1778,42,2026-01-16,2026-01-16T14:18:30Z,0.440298,3.663,1,29.63,3423,42,5,3.3685,Travel Vlog,1,56,2640000,56,Friday,4,en,20,35.0,0.113351,0.0838
Passenger Paramvir,wCNkyoEOXds,https://www.youtube.com/watch?v=wCNkyoEOXds,"Kyiv, Ukraine | War & Reality 🇺🇦",1545679,33118,2855,3878,42,2026-01-13,2026-01-13T06:32:13Z,0.585484,2.3273,1,64.63,2855,42,7,2.1426,Travel Vlog,1,59,2640000,59,Tuesday,1,en,20,55.0,0.097373,0.1838
Passenger Paramvir,KJmp9FMCMOU,https://www.youtube.com/watch?v=KJmp9FMCMOU,Discriminated for Being Indian: Ukraine 🇺🇦,239915,9506,340,40,50,2026-01-08,2026-01-08T11:50:35Z,0.090877,4.104,1,0.67,340,50,6,3.9622,Travel Vlog,1,64,2640000,64,Thursday,3,en,20,40.0,0.1,0.178
Passenger Paramvir,b-AuMya8KzA,https://www.youtube.com/watch?v=b-AuMya8KzA,LIFE IN UKRAINE DURING WAR! 🇺🇦,1836463,38551,1858,2720,46,2026-01-05,2026-01-05T12:28:01Z,0.69563,2.2004,7,45.33,1858,46,6,2.0992,Travel Vlog,1,67,2640000,67,Monday,0,de,20,50.0,0.114639,0.1974
Passenger Paramvir,XkG6-NWodBI,https://www.youtube.com/watch?v=XkG6-NWodBI,Entering Ukraine 🇺🇦 During War: 10-Hour Interrogation!,1369059,42785,5200,3512,50,2026-01-01,2026-01-01T16:56:40Z,0.518583,3.505,3,58.53,5200,50,7,3.1251,Travel Vlog,1,71,2640000,71,Thursday,3,en,20,50.0,0.090769,0.2661
Passenger Paramvir,S5ongTJtNo4,https://www.youtube.com/watch?v=S5ongTJtNo4,Life in Europe’s Poorest Country: Moldova! 🇲🇩,1403215,31345,2769,3659,46,2025-12-26,2025-12-26T15:42:06Z,0.531521,2.4311,2,60.98,2769,46,7,2.2338,Travel Vlog,1,77,2640000,77,Friday,4,en,20,60.0,0.076562,0.2906
Passenger Paramvir,CzxNIWS-9sw,https://www.youtube.com/watch?v=CzxNIWS-9sw,Is Bucharest the Ugliest Capital in Europe? 🇷🇴,533408,15425,897,1454,43,2025-12-24,2025-12-24T11:09:25Z,0.202048,3.0599,2,24.23,897,43,8,2.8918,Travel Vlog,1,79,2640000,79,Wednesday,2,en,20,60.0,0.166109,0.4163
Passenger Paramvir,J2shhMxf2JM,https://www.youtube.com/watch?v=J2shhMxf2JM,Cluj-Napoca: The Student Capital of Transylvania! 🇷🇴,1267439,28796,1388,1898,44,2025-12-21,2025-12-21T10:50:37Z,0.480091,2.3815,2,31.63,1388,44,7,2.272,Travel Vlog,1,82,2640000,82,Sunday,6,en,20,70.0,0.025216,0.5543
Passenger Paramvir,Kz8jAdusIHo,https://www.youtube.com/watch?v=Kz8jAdusIHo,Entering TRANSYLVANIA: Budapest to Romania by Bus! 🇷🇴,804597,21194,1030,2804,43,2025-12-16,2025-12-16T12:57:32Z,0.304772,2.7621,3,46.73,1030,43,8,2.6341,Travel Vlog,1,87,2640000,87,Tuesday,1,en,20,75.0,0.076699,0.4945
Passenger Paramvir,DQHmUr4B1q0,https://www.youtube.com/watch?v=DQHmUr4B1q0,Ireland's Remote Sea Cliffs: SLIABH LIAG,248298,10104,134,40,48,2025-12-14,2025-12-14T15:59:04Z,0.094052,4.1233,2,0.67,134,48,6,4.0693,Travel Vlog,1,89,2640000,89,Sunday,6,en,20,85.0,0.171642,0.5459
Passenger Paramvir,DVUytrqMLCw,https://www.youtube.com/watch?v=DVUytrqMLCw,Krakow to Budapest: Europe’s Best Nightlife Cities! 🇵🇱🇭🇺,614666,19009,1006,2531,44,2025-12-14,2025-12-14T09:27:00Z,0.232828,3.2562,4,42.18,1006,44,8,3.0926,Travel Vlog,1,89,2640000,89,Sunday,6,en,20,70.0,0.083499,0.4177
Passenger Paramvir,FApuXBC1rYc,https://www.youtube.com/watch?v=FApuXBC1rYc,S*xually Harassed while Hitchhiking in Italy! 🇮🇹,1384276,40721,4299,2832,51,2025-12-12,2025-12-12T16:13:08Z,0.524347,3.2522,2,47.2,4299,51,7,2.9417,Travel Vlog,1,91,2640000,91,Friday,4,en,20,50.0,0.06769,0.0341
Passenger Paramvir,MwORVvkNKF4,https://www.youtube.com/watch?v=MwORVvkNKF4,"Italy With Locals: Village Life, Wineries & Lake Garda! 🇮🇹",1236431,27109,1367,3420,45,2025-12-08,2025-12-08T15:04:15Z,0.468345,2.3031,2,57.0,1367,45,10,2.1925,Travel Vlog,1,95,2640000,95,Monday,0,en,20,70.0,0.02853,0.3595
Passenger Paramvir,4nsstkMBDl4,https://www.youtube.com/watch?v=4nsstkMBDl4,Berlin to Italy Road Trip! 🇩🇪🇮🇹,989888,27449,1426,3057,36,2025-12-05,2025-12-05T17:00:48Z,0.374958,2.917,3,50.95,1426,36,6,2.7729,Travel Vlog,1,98,2640000,98,Friday,4,en,20,80.0,0.052595,0.4538
Passenger Paramvir,C6heS5rb32I,https://www.youtube.com/watch?v=C6heS5rb32I,Flying from London to Berlin! 🇬🇧🇩🇪,804759,23392,919,2034,41,2025-12-03,2025-12-03T08:40:54Z,0.304833,3.0209,3,33.9,919,41,6,2.9067,Travel Vlog,1,100,2640000,100,Wednesday,2,en,20,75.0,0.067465,0.5148
Passenger Paramvir,PANOYpAWQtA,https://www.youtube.com/watch?v=PANOYpAWQtA,Surviving London with £100! 🇬🇧💸,990334,23391,1517,3821,48,2025-11-21,2025-11-21T16:23:18Z,0.375127,2.5151,4,63.68,1517,48,5,2.3619,Travel Vlog,1,112,2640000,112,Friday,4,en,20,80.0,0.131839,0.5047
Passenger Paramvir,2VqRIf89RVc,https://www.youtube.com/watch?v=2VqRIf89RVc,"Crossing Into Northern Ireland, UK 🇬🇧 from Republic of Ireland! 🇮🇪",624251,17547,909,2521,48,2025-11-13,2025-11-13T10:55:49Z,0.236459,2.9565,4,42.02,909,48,11,2.8109,Travel Vlog,1,120,2640000,120,Thursday,3,en,20,55.0,0.066007,0.2645
Passenger Paramvir,V3InqJb_iVs,https://www.youtube.com/watch?v=V3InqJb_iVs,ALONE at the WILD IRISH CLIFFS: Day 3 🇮🇪,668111,23096,1330,3375,48,2025-11-09,2025-11-09T02:49:45Z,0.253072,3.656,6,56.25,1330,48,9,3.4569,Travel Vlog,1,124,2640000,124,Sunday,6,en,20,75.0,0.045865,0.5364
Passenger Paramvir,3kOOAg-PsJs,https://www.youtube.com/watch?v=3kOOAg-PsJs,Ireland’s Most Beautiful Drive: Sky Road & Connemara (Day2)! 🇮🇪,1179752,32286,1544,3241,47,2025-11-06,2025-11-06T12:40:46Z,0.446876,2.8676,3,54.02,1544,47,10,2.7367,Travel Vlog,1,127,2640000,127,Thursday,3,en,20,65.0,0.103627,0.4141
Passenger Paramvir,o6iLdDbH9Dk,https://www.youtube.com/watch?v=o6iLdDbH9Dk,"DUBLIN to GALWAY: Ireland Road Trip, DAY 1! 🇮🇪",1019588,26396,1291,3291,43,2025-10-22,2025-10-22T16:59:37Z,0.386208,2.7155,6,54.85,1291,43,9,2.5889,Travel Vlog,1,142,2640000,142,Wednesday,2,en,20,75.0,0.058095,0.4019
Passenger Paramvir,CBiY0C3ax9k,https://www.youtube.com/watch?v=CBiY0C3ax9k,"Exploring DUBLIN, IRELAND 🇮🇪",1112938,28320,1652,2809,43,2025-10-14,2025-10-14T12:18:55Z,0.421567,2.6931,3,46.82,1652,43,4,2.5446,Travel Vlog,1,150,2640000,150,Tuesday,1,en,20,65.0,0.052663,0.3946
Passenger Paramvir,j3XOwTn8p7g,https://www.youtube.com/watch?v=j3XOwTn8p7g,"Racist Attacks & INSANE Prices: Dublin, Ireland 🇮🇪",2005090,42733,3582,2647,43,2025-10-04,2025-10-04T17:48:42Z,0.759504,2.3099,3,44.12,3582,43,8,2.1312,Travel Vlog,1,160,2640000,160,Saturday,5,en,20,60.0,0.136237,0.2692
Passenger Paramvir,ZQBobjomYYg,https://www.youtube.com/watch?v=ZQBobjomYYg,Europe's Largest Street Carnival: NottingHill 2025! 🇬🇧,983235,23707,1542,4257,44,2025-09-27,2025-09-27T11:53:31Z,0.372437,2.568,3,70.95,1542,44,7,2.4111,Travel Vlog,1,167,2640000,167,Saturday,5,en,20,75.0,0.01751,0.4827
Passenger Paramvir,wjBnu91NOhA,https://www.youtube.com/watch?v=wjBnu91NOhA,Visiting The Prettiest Village of England! 🇬🇧,1479786,33079,1553,2377,41,2025-09-20,2025-09-20T17:05:53Z,0.560525,2.3403,2,39.62,1553,41,7,2.2354,Travel Vlog,1,174,2640000,174,Saturday,5,en,20,45.0,0.036059,0.2115
Passenger Paramvir,AfyEFZE_J90,https://www.youtube.com/watch?v=AfyEFZE_J90,"Exploring Cardiff, Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧",822369,24104,1716,2269,43,2025-09-15,2025-09-15T17:34:34Z,0.311503,3.1397,2,37.82,1716,43,4,2.931,Travel Vlog,1,179,2640000,179,Monday,0,en,20,50.0,0.060023,0.249
Passenger Paramvir,1IDbPbYAKLw,https://www.youtube.com/watch?v=1IDbPbYAKLw,"London to Cardiff, Wales via Train! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧",852023,23376,1153,1897,44,2025-08-31,2025-08-31T09:38:52Z,0.322736,2.8789,4,31.62,1153,44,7,2.7436,Travel Vlog,1,194,2640000,194,Sunday,6,en,20,55.0,0.032958,0.2218
Passenger Paramvir,5KGQokmSYA0,https://www.youtube.com/watch?v=5KGQokmSYA0,Inside Asmara: Touring Africa’s Most Vintage City! 🇪🇷,990008,31987,2090,2643,38,2025-08-28,2025-08-28T16:41:07Z,0.375003,3.4421,2,44.05,2090,38,8,3.231,Travel Vlog,1,197,2640000,197,Thursday,3,en,20,100.0,0.051196,0.7535
